section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
model_comparison,,chapman_shaoxing,164934002,t wave abnormal,True,interpretive,,,feature_model_shift_delta,-0.04063806375648249,,
model_comparison,,chapman_shaoxing,164934002,t wave abnormal,True,interpretive,,,xresnet1d101_shift_delta,-0.1618978770190988,-0.1826166971633363,-0.1405814488090843
model_comparison,,chapman_shaoxing,59931005,t wave inversion,True,interpretive,,,feature_model_shift_delta,-0.04278502832153508,,
model_comparison,,chapman_shaoxing,59931005,t wave inversion,True,interpretive,,,xresnet1d101_shift_delta,-0.1053688401207387,-0.1389310123918701,-0.0719063034197719
rank_correlation,,chapman_shaoxing,,,,,,,spearman_rho,0.5934065934065934,,
rank_correlation,,chapman_shaoxing,,,,,,,p_value,0.03252444027009699,,
finding_class_summary,,chapman_shaoxing,,,,geometric,,,feature_model_mean_shift_delta,-0.04556387446256597,,
finding_class_summary,,chapman_shaoxing,,,,geometric,,,xresnet1d101_mean_shift_delta,-0.015450306018089647,,
finding_class_summary,,chapman_shaoxing,,,,interpretive,,,feature_model_mean_shift_delta,-0.07494218766110114,,
finding_class_summary,,chapman_shaoxing,,,,interpretive,,,xresnet1d101_mean_shift_delta,-0.10553657593385328,,
finding_class_summary,,chapman_shaoxing,,,,unclassified,,,feature_model_mean_shift_delta,0.021982109933696425,,
finding_class_summary,,chapman_shaoxing,,,,unclassified,,,xresnet1d101_mean_shift_delta,-0.02856013603649195,,
model_comparison,,ningbo,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,,,feature_model_shift_delta,-0.01358283462728127,,
model_comparison,,ningbo,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,,,xresnet1d101_shift_delta,-0.0010657781010612,-0.0047017958083836,0.00299301115938
model_comparison,,ningbo,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,,,feature_model_shift_delta,-0.007731724941651197,,
model_comparison,,ningbo,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,,,xresnet1d101_shift_delta,-0.0032870881603417,-0.0059803289209492,-0.00077026246287
model_comparison,,ningbo,270492004,1st degree av block,True,geometric,,,feature_model_shift_delta,-0.06610053650025105,,
model_comparison,,ningbo,270492004,1st degree av block,True,geometric,,,xresnet1d101_shift_delta,-0.006626094101105,-0.0144669996859615,0.0022487667481299
model_comparison,,ningbo,39732003,left axis deviation,True,geometric,,,feature_model_shift_delta,0.04924428851600515,,
model_comparison,,ningbo,39732003,left axis deviation,True,geometric,,,xresnet1d101_shift_delta,0.0154954294073741,0.0040834099180024,0.0277055655185661
model_comparison,,ningbo,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,feature_model_shift_delta,0.003216959304790712,,
model_comparison,,ningbo,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,xresnet1d101_shift_delta,-0.2291628975829494,-0.294028669814548,-0.1593967984322092
model_comparison,,ningbo,426783006,sinus rhythm,True,interpretive,,,feature_model_shift_delta,-0.24836445666266416,,
model_comparison,,ningbo,426783006,sinus rhythm,True,interpretive,,,xresnet1d101_shift_delta,-0.1217585367831696,-0.1362978054684338,-0.1060983837173743
model_comparison,,ningbo,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,feature_model_shift_delta,0.029358657954507872,,
model_comparison,,ningbo,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,xresnet1d101_shift_delta,-0.0341656407459187,-0.0739619070016133,0.0151788673601155
model_comparison,,ningbo,164917005,qwave abnormal,True,unclassified,,,feature_model_shift_delta,0.036444926046681925,,
model_comparison,,ningbo,164917005,qwave abnormal,True,unclassified,,,xresnet1d101_shift_delta,-0.0048352448648039,-0.0613275080317276,0.0537741842035456
model_comparison,,ningbo,47665007,right axis deviation,True,geometric,,,feature_model_shift_delta,-0.02818511881047736,,
model_comparison,,ningbo,47665007,right axis deviation,True,geometric,,,xresnet1d101_shift_delta,-0.0277123930627966,-0.0338753495579812,-0.0191480926137077
model_comparison,,ningbo,426177001,sinus bradycardia,True,geometric,,,feature_model_shift_delta,0.028495640075525075,,
model_comparison,,ningbo,426177001,sinus bradycardia,True,geometric,,,xresnet1d101_shift_delta,0.0088960052898678,-0.0118555185608736,0.0365331423314388
model_comparison,,ningbo,427084000,sinus tachycardia,True,geometric,,,feature_model_shift_delta,-0.017566816654860595,,
