section,cohort,architecture,rung,label_key,diagnosis,sample_size,metric,value,lower_95,upper_95
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,427084000,sinus tachycardia,,target_prevalence,0.0373066424021838,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164934002,t wave abnormal,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164934002,t wave abnormal,,offset,-0.02684539078887882,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164934002,t wave abnormal,,source_prevalence,0.10764726145366862,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164934002,t wave abnormal,,target_prevalence,0.10509554140127389,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,59931005,t wave inversion,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,59931005,t wave inversion,,offset,-0.022635393037814033,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,59931005,t wave inversion,,source_prevalence,0.013491790102193134,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,59931005,t wave inversion,,target_prevalence,0.013193812556869881,,
ladder,ptb_test,xresnet1d101,sld_em,,,,macro_per_label_ece,0.015765043979695685,,
ladder,ptb_test,xresnet1d101,sld_em,,,,pooled_ece,0.007221012605956349,,
ladder,ptb_test,xresnet1d101,sld_em,,,,macro_brier,0.027526498404552124,,
rung_parameters,ptb_test,xresnet1d101,sld_em,733534002|164909002,complete left bundle branch block / left bundle branch block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,sld_em,733534002|164909002,complete left bundle branch block / left bundle branch block,,offset,-0.05497702563715379,,
rung_parameters,ptb_test,xresnet1d101,sld_em,733534002|164909002,complete left bundle branch block / left bundle branch block,,source_prevalence,0.02457228154782409,,
rung_parameters,ptb_test,xresnet1d101,sld_em,733534002|164909002,complete left bundle branch block / left bundle branch block,,estimated_target_prevalence,0.023288445307114145,,
rung_parameters,ptb_test,xresnet1d101,sld_em,733534002|164909002,complete left bundle branch block / left bundle branch block,,true_target_prevalence,0.02456778889899909,,
