cohort,architecture,calibration,label_key,bin,lower,upper,count,mean_probability,observed_frequency
ptb_test,xresnet1d101,uncalibrated,426177001,4,0.2,0.26666666666666666,18,0.23736029035515255,0.16666666666666666
ptb_test,xresnet1d101,uncalibrated,426177001,5,0.26666666666666666,0.3333333333333333,21,0.290971835454305,0.23809523809523808
ptb_test,xresnet1d101,uncalibrated,426177001,6,0.3333333333333333,0.4,5,0.36765819787979126,0.4
ptb_test,xresnet1d101,uncalibrated,426177001,7,0.4,0.4666666666666667,8,0.4290759116411209,0.75
ptb_test,xresnet1d101,uncalibrated,426177001,8,0.4666666666666667,0.5333333333333333,4,0.4971720203757286,0.5
ptb_test,xresnet1d101,uncalibrated,426177001,9,0.5333333333333333,0.6,3,0.552348772684733,0.3333333333333333
ptb_test,xresnet1d101,uncalibrated,426177001,10,0.6,0.6666666666666666,8,0.6300352662801743,0.875
ptb_test,xresnet1d101,uncalibrated,426177001,11,0.6666666666666666,0.7333333333333333,4,0.7031677961349487,1.0
ptb_test,xresnet1d101,uncalibrated,426177001,12,0.7333333333333333,0.8,3,0.7629039088884989,1.0
ptb_test,xresnet1d101,uncalibrated,426177001,13,0.8,0.8666666666666667,6,0.8499675989151001,0.8333333333333334
ptb_test,xresnet1d101,uncalibrated,426177001,14,0.8666666666666667,0.9333333333333333,2,0.9162494242191315,1.0
ptb_test,xresnet1d101,uncalibrated,426177001,15,0.9333333333333333,1.0,1,0.9459648132324219,1.0
ptb_test,xresnet1d101,uncalibrated,427084000,1,0.0,0.06666666666666667,2067,0.0013564355522222397,0.0009675858732462506
ptb_test,xresnet1d101,uncalibrated,427084000,2,0.06666666666666667,0.13333333333333333,21,0.08876201297555651,0.047619047619047616
ptb_test,xresnet1d101,uncalibrated,427084000,3,0.13333333333333333,0.2,8,0.17489103600382805,0.0
ptb_test,xresnet1d101,uncalibrated,427084000,4,0.2,0.26666666666666666,4,0.23265473544597626,0.0
ptb_test,xresnet1d101,uncalibrated,427084000,5,0.26666666666666666,0.3333333333333333,6,0.29992420971393585,0.5
ptb_test,xresnet1d101,uncalibrated,427084000,6,0.3333333333333333,0.4,5,0.36816865801811216,0.4
ptb_test,xresnet1d101,uncalibrated,427084000,7,0.4,0.4666666666666667,6,0.4347311506668727,0.6666666666666666
ptb_test,xresnet1d101,uncalibrated,427084000,8,0.4666666666666667,0.5333333333333333,1,0.504134476184845,0.0
ptb_test,xresnet1d101,uncalibrated,427084000,9,0.5333333333333333,0.6,5,0.5606357216835022,0.4
ptb_test,xresnet1d101,uncalibrated,427084000,10,0.6,0.6666666666666666,5,0.6324544906616211,1.0
ptb_test,xresnet1d101,uncalibrated,427084000,11,0.6666666666666666,0.7333333333333333,4,0.7042258530855179,0.75
ptb_test,xresnet1d101,uncalibrated,427084000,12,0.7333333333333333,0.8,5,0.7790688276290894,0.6
ptb_test,xresnet1d101,uncalibrated,427084000,13,0.8,0.8666666666666667,10,0.8325221955776214,1.0
ptb_test,xresnet1d101,uncalibrated,427084000,14,0.8666666666666667,0.9333333333333333,19,0.9056012567720915,0.8947368421052632
ptb_test,xresnet1d101,uncalibrated,427084000,15,0.9333333333333333,1.0,32,0.9685371667146683,0.9375
ptb_test,xresnet1d101,uncalibrated,164934002,1,0.0,0.06666666666666667,1446,0.012686272453287715,0.01037344398340249
ptb_test,xresnet1d101,uncalibrated,164934002,2,0.06666666666666667,0.13333333333333333,194,0.09627714818439533,0.061855670103092786
ptb_test,xresnet1d101,uncalibrated,164934002,3,0.13333333333333333,0.2,116,0.16374116699243413,0.14655172413793102
ptb_test,xresnet1d101,uncalibrated,164934002,4,0.2,0.26666666666666666,77,0.23025955356560746,0.2077922077922078
ptb_test,xresnet1d101,uncalibrated,164934002,5,0.26666666666666666,0.3333333333333333,74,0.2988385252050451,0.2702702702702703
ptb_test,xresnet1d101,uncalibrated,164934002,6,0.3333333333333333,0.4,52,0.36755961924791336,0.36538461538461536
ptb_test,xresnet1d101,uncalibrated,164934002,7,0.4,0.4666666666666667,45,0.4293537265724606,0.28888888888888886
ptb_test,xresnet1d101,uncalibrated,164934002,8,0.4666666666666667,0.5333333333333333,46,0.4935431713643281,0.391304347826087
ptb_test,xresnet1d101,uncalibrated,164934002,9,0.5333333333333333,0.6,34,0.5644664606627297,0.4117647058823529
ptb_test,xresnet1d101,uncalibrated,164934002,10,0.6,0.6666666666666666,38,0.6304751226776525,0.7105263157894737
ptb_test,xresnet1d101,uncalibrated,164934002,11,0.6666666666666666,0.7333333333333333,28,0.7009835966995784,0.7857142857142857
ptb_test,xresnet1d101,uncalibrated,164934002,12,0.7333333333333333,0.8,20,0.762767818570137,0.85
ptb_test,xresnet1d101,uncalibrated,164934002,13,0.8,0.8666666666666667,18,0.8291985160774655,0.7222222222222222
ptb_test,xresnet1d101,uncalibrated,164934002,14,0.8666666666666667,0.9333333333333333,10,0.900321078300476,0.8
ptb_test,xresnet1d101,uncalibrated,164934002,15,0.9333333333333333,1.0,0,,
ptb_test,xresnet1d101,uncalibrated,59931005,1,0.0,0.06666666666666667,2083,0.003847509985375128,0.004800768122899664
ptb_test,xresnet1d101,uncalibrated,59931005,2,0.06666666666666667,0.13333333333333333,53,0.09913176593353164,0.11320754716981132
ptb_test,xresnet1d101,uncalibrated,59931005,3,0.13333333333333333,0.2,20,0.1688593216240406,0.2
ptb_test,xresnet1d101,uncalibrated,59931005,4,0.2,0.26666666666666666,12,0.22304779042800268,0.16666666666666666
ptb_test,xresnet1d101,uncalibrated,59931005,5,0.26666666666666666,0.3333333333333333,11,0.30352644757791,0.2727272727272727
ptb_test,xresnet1d101,uncalibrated,59931005,6,0.3333333333333333,0.4,8,0.3690888546407223,0.125
ptb_test,xresnet1d101,uncalibrated,59931005,7,0.4,0.4666666666666667,6,0.429765651623408,0.16666666666666666
ptb_test,xresnet1d101,uncalibrated,59931005,8,0.4666666666666667,0.5333333333333333,3,0.49597110350926715,0.0
ptb_test,xresnet1d101,uncalibrated,59931005,9,0.5333333333333333,0.6,1,0.5659656524658203,1.0
ptb_test,xresnet1d101,uncalibrated,59931005,10,0.6,0.6666666666666666,0,,
ptb_test,xresnet1d101,uncalibrated,59931005,11,0.6666666666666666,0.7333333333333333,1,0.6841607689857483,1.0
ptb_test,xresnet1d101,uncalibrated,59931005,12,0.7333333333333333,0.8,0,,
ptb_test,xresnet1d101,uncalibrated,59931005,13,0.8,0.8666666666666667,0,,
ptb_test,xresnet1d101,uncalibrated,59931005,14,0.8666666666666667,0.9333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,59931005,15,0.9333333333333333,1.0,0,,
ptb_test,xresnet1d101,calibrated,pooled,1,0.0,0.06666666666666667,23319,0.006630499197195164,0.006775590720013723
ptb_test,xresnet1d101,calibrated,pooled,2,0.06666666666666667,0.13333333333333333,966,0.09524695461858874,0.09213250517598344
ptb_test,xresnet1d101,calibrated,pooled,3,0.13333333333333333,0.2,446,0.16306419777495978,0.16367713004484305
ptb_test,xresnet1d101,calibrated,pooled,4,0.2,0.26666666666666666,314,0.23067890093394905,0.2356687898089172
ptb_test,xresnet1d101,calibrated,pooled,5,0.26666666666666666,0.3333333333333333,238,0.29817062390952553,0.31512605042016806
ptb_test,xresnet1d101,calibrated,pooled,6,0.3333333333333333,0.4,192,0.36605343750367564,0.3333333333333333
ptb_test,xresnet1d101,calibrated,pooled,7,0.4,0.4666666666666667,157,0.4303917598192859,0.45222929936305734
ptb_test,xresnet1d101,calibrated,pooled,8,0.4666666666666667,0.5333333333333333,156,0.4982184605338635,0.46153846153846156
ptb_test,xresnet1d101,calibrated,pooled,9,0.5333333333333333,0.6,130,0.5656896953399365,0.5230769230769231
ptb_test,xresnet1d101,calibrated,pooled,10,0.6,0.6666666666666666,140,0.6343681505748204,0.7071428571428572
ptb_test,xresnet1d101,calibrated,pooled,11,0.6666666666666666,0.7333333333333333,132,0.7018376444325303,0.7121212121212122
ptb_test,xresnet1d101,calibrated,pooled,12,0.7333333333333333,0.8,168,0.767028078791641,0.7678571428571429
ptb_test,xresnet1d101,calibrated,pooled,13,0.8,0.8666666666666667,200,0.8344217732548713,0.81
